dset,m_arch,m_pretrain,m_finetune,loss,acc
dnc-comparatives,bert,mlm,mnli,0.008405483170841516,0.6404494382022472
dnc-comparatives,distilbert,mlm,mnli,0.01186309771591358,0.6292134831460674
dnc-comparatives,distilbert,mlm,distmnli,0.011160997862226508,0.5730337078651685
dnc-prepositions,bert,mlm,mnli,0.009578704833984375,0.5167597765363129
dnc-prepositions,distilbert,mlm,mnli,0.014442649633524804,0.5083798882681564
dnc-prepositions,distilbert,mlm,distmnli,0.01015426926106714,0.49441340782122906
dnc-quantification,bert,mlm,mnli,0.004253243145189788,0.7801857585139319
dnc-quantification,distilbert,mlm,mnli,0.005989197422476376,0.7430340557275542
dnc-quantification,distilbert,mlm,distmnli,0.006207689227703555,0.7244582043343654
dnc-spatial,bert,mlm,mnli,0.004009613185931163,0.7643312101910829
dnc-spatial,distilbert,mlm,mnli,0.005600241718778185,0.7515923566878981
dnc-spatial,distilbert,mlm,distmnli,0.0054309546567831825,0.7261146496815286
jam,bert,mlm,mnli,0.005606195743267353,0.5123076923076924
jam,distilbert,mlm,mnli,0.006652710254375751,0.49846153846153846
jam,distilbert,mlm,distmnli,0.005788146165701059,0.5
snli,bert,mlm,mnli,0.0024558491044011704,0.7656128906407889
snli,distilbert,mlm,mnli,0.0035554570657142,0.736307033159764
snli,distilbert,mlm,distmnli,0.0027358750651079408,0.7516435777889858
anli,bert,mlm,mnli,0.003802398773738807,0.6481198121289102
anli,distilbert,mlm,mnli,0.00521429945326512,0.6186748589489853
anli,distilbert,mlm,distmnli,0.004062319316705692,0.6342185330694473
dnc-comparatives,distilbert,mlm,mixedmnli,0.008664016643266999,0.6741573033707865
dnc-prepositions,distilbert,mlm,mixedmnli,0.01037942464125223,0.5139664804469274
dnc-quantification,distilbert,mlm,mixedmnli,0.0049338379511523174,0.7678018575851393
dnc-spatial,distilbert,mlm,mixedmnli,0.004798506095910528,0.7770700636942676
jam,distilbert,mlm,mixedmnli,0.006042028757242056,0.4676923076923077
snli,distilbert,mlm,mixedmnli,0.0028789913520062362,0.7452994817523764
anli,distilbert,mlm,mixedmnli,0.004137754552287513,0.6403332053289221
hans,bert,mlm,mnli,0.005808894225799789,0.5040166666666667
hans,distilbert,mlm,mnli,0.010204314191189284,0.4961333333333333
hans,distilbert,mlm,distmnli,0.006110026085687181,0.50785
hans,distilbert,mlm,mixedmnli,0.006740688319985444,0.49921666666666664
mnli_m,bert,mlm,mnli,0.001825477341517343,0.8248599083036169
mnli_m,distilbert,mlm,mnli,0.0023654603314411863,0.8116148751910341
mnli_m,distilbert,mlm,distmnli,0.001940141332070559,0.8210901681100357
mnli_m,distilbert,mlm,mixedmnli,0.0019082406195097897,0.8272032603158431
mnli_mm,bert,mlm,mnli,0.0017121911315630858,0.8339096826688365
mnli_mm,distilbert,mlm,mnli,0.002293689511382939,0.8133645240032547
mnli_mm,distilbert,mlm,distmnli,0.0018129647050910698,0.8335028478437754
mnli_mm,distilbert,mlm,mixedmnli,0.0018156762193188229,0.8343165174938975
dnc-negation,bert,mlm,mnli,0.005861948387675277,0.637901861252115
dnc-negation,distilbert,mlm,mnli,0.007354442843325852,0.626057529610829
dnc-negation,distilbert,mlm,mixedmnli,0.006039893364946653,0.6412859560067682
